Collect wood,Place table,Make wood pickaxe,Collect stone,Make stone pickaxe,Collect iron,Collect coal,Place furnace,Make iron pickaxe,Collect diamond
5.0,7.0,8.0,10.0,13.0,57.0,45.0,62.0,63.0,73.0
5.0,8.0,13.0,16.0,20.0,49.0,53.0,57.0,58.0,60.0
4.0,14.0,20.0,41.0,60.0,95.0,78.0,99.0,100.0,102.0
4.0,10.0,11.0,20.0,28.0,36.0,73.0,94.0,95.0,97.0
2.0,7.0,8.0,16.0,23.0,76.0,87.0,92.0,93.0,95.0
